PROVEEDOR;REFERENCIA;COP METRO;USD METER;MUESTRARIO;T&C Traje 2P;T&C Traje 3P;T&C Pantalon;T&C Saco ;T&C Chaleco;T&C Camisa L2;PVC Traje 2;PVC Traje 3p;PVC PANTALON;PVC Saco;PVC Camisa;PVC Accesorios;PVP Traje 2P USD;PVP Traje 3P USD;PVP Pantalon USD;PVP Saco USD;PVP Camisa USD;PVP Accesorios USD;;;;;;;
DYSATEX;TWILL 121-1 / 121-2;122570;37,14242424;ALBINI;0;0;0;0;0;281626;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;ZEPHIR 180-1 / 180-8;131257;39,77484848;ALBINI;0;0;0;0;0;297262,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;COMFORT 130-1 / 130-9;131257;39,77484848;ALBINI;0;0;0;0;0;297262,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;DUKE 127-1 / 127-4;150650;45,65151515;ALBINI;0;0;0;0;0;332170;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;EFIRE;150650;45,65151515;ALBINI;0;0;0;0;0;332170;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;MUSSOLETA;150650;45,65151515;ALBINI;0;0;0;0;0;332170;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;NET WASHED;150650;45,65151515;ALBINI;0;0;0;0;0;332170;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;SAHARA;158195;47,93787879;ALBINI;0;0;0;0;0;345751;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;SUPIMA ORGANIC;77832;23,58545455;ALBINI;0;0;0;0;0;201097,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;PIQUET 126-1 / 126-6;77350;23,43939394;ALBINI;0;0;0;0;0;200230;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;POP QUEEN 128-1 / 128-11;77350;23,43939394;ALBINI;0;0;0;0;0;200230;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;TWILL GOLD 100-1 / 100-3;145787;44,17787879;ALBINI;0;0;0;0;0;323416,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;METZ 124-1 - METZ 124-18;77350;23,43939394;ALBINI;0;0;0;0;0;200230;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;PANAMA 125-1 - PANAMA 125-16;88700;26,87878788;ALBINI;0;0;0;0;0;220660;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;TOLOSA 122-1 - TORONTO 122-11;99304;30,09212121;ALBINI;0;0;0;0;0;239747,2;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;TWILL GOLD 801-3;131257;39,77484848;ALBINI;0;0;0;0;0;297262,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;METZ 206-350;131257;39,77484848;ALBINI;0;0;0;0;0;297262,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;METZ  205-350;145787;44,17787879;ALBINI;0;0;0;0;0;323416,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;METZ 204-120;145787;44,17787879;ALBINI;0;0;0;0;0;323416,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;METZ 202-120;145787;44,17787879;ALBINI;0;0;0;0;0;323416,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
